ORIGEM,DESTINO,DISTANCIA
SBTE,SBCG,2137.684289254956
SBSL,SBCG,2286.931413668688
SBPJ,SBCG,1316.4439628594846
SBJC,SBCG,2224.687281094313
SBMQ,SBCG,2313.7471694068777
SBEG,SBCG,2023.3983467634669
SBBV,SBCG,2672.709872412314
SBRB,SBCG,1842.5381873124738
SBPV,SBCG,1639.3090466403717
SBPA,SBCY,1672.9616414709708
SBFL,SBCY,1548.1554200763537
SBCT,SBCY,1314.4953457902886
SBSP,SBCY,1329.1574459062465
SBGR,SBCY,1329.7327959102654
SBRJ,SBCY,1580.0373836184879
SBGL,SBCY,1567.5805147176925
SBCF,SBCY,1361.6556154852397
SBVT,SBCY,1750.8746233673012
SBBR,SBCY,877.9198646531835
SBCG,SBCY,556.0549315304374
SBGO,SBCY,745.5879046136564
SBSV,SBCY,1939.8868185889107
SBAR,SBCY,2124.158573048079
SBMO,SBCY,2307.528892789589
SBRF,SBCY,2450.8557175012834
SBJP,SBCY,2491.3082095096634
SBSG,SBCY,2516.2136991518782
SBFZ,SBCY,2332.3283066133968
SBTE,SBCY,1869.5688082902727
SBSL,SBCY,1950.759779508821
SBPJ,SBCY,1030.2346313671503
SBJC,SBCY,1793.900284728235
SBMQ,SBCY,1831.9073383683392
SBEG,SBCY,1467.5062245024462
SBBV,SBCY,2116.844780045348
SBRB,SBCY,1429.354182171795
SBPV,SBCY,1143.9468068431167
SBPA,SBGO,1499.505348206498
SBFL,SBGO,1230.0379579165378
SBCT,SBGO,989.6792384617515
SBSP,SBGO,822.6554586361777
SBGR,SBGO,808.5627773797802
SBRJ,SBGO,942.2809568573042
SBGL,SBGO,928.7682508802609
SBCF,SBGO,647.5200406469518
SBVT,SBGO,1024.7006325822013
SBBR,SBGO,161.98200724942507
SBCG,SBGO,715.243290284492
SBCY,SBGO,745.5879046136564
SBSV,SBGO,1240.232116454793
SBAR,SBGO,1452.8183112529507
SBMO,SBGO,1654.113478140887
SBRF,SBGO,1815.5502675759574
SBJP,SBGO,1874.772893059249
SBSG,SBGO,1931.7116287505205
SBFZ,SBGO,1843.91462459577
SBTE,SBGO,1462.990261473437
SBSL,SBGO,1653.9853858397598
SBPJ,SBGO,710.3841547186377
SBJC,SBGO,1697.0398931150128
SBMQ,SBGO,1865.8088980281634
SBEG,SBGO,1920.2207013448524
SBBV,SBGO,2505.370940338086
SBRB,SBGO,2155.7464847197566
SBPV,SBGO,1818.5495608575536
SBPA,SBSV,2313.566195314854
SBFL,SBSV,1953.985582524116
SBCT,SBSV,1804.077081759204
SBSP,SBSV,1479.1683815511897
SBGR,SBSV,1450.191365613098
SBRJ,SBSV,1222.819641300808
SBGL,SBSV,1216.9055374854079
SBCF,SBSV,958.2634124697405
SBVT,SBSV,842.7253881804429
SBBR,SBSV,1083.1745458396101
SBCG,SBSV,1929.4743696376156
SBCY,SBSV,1939.8868185889107
SBGO,SBSV,1240.232116454793
SBAR,SBSV,254.6897340919544
SBMO,SBSV,469.1427632517731
SBRF,SBSV,649.7231804192911
SBJP,SBSV,740.9143951986497
SBSG,SBSV,859.0953467634802
SBFZ,SBSV,1016.2911094259008
SBTE,SBSV,1002.9254802710005
SBSL,SBSV,1319.7433243363455
SBPJ,SBSV,1129.869211345226
SBJC,SBSV,1700.8454677213097
SBMQ,SBSV,2012.2834295849186
SBEG,SBSV,2628.3232146625373
SBBV,SBSV,3027.0385832304783
SBRB,SBSV,3238.465592021883
SBPV,SBSV,2829.44180139864
SBPA,SBAR,2568.255723185708
SBFL,SBAR,2208.6075015317056
SBCT,SBAR,2058.027243667176
SBSP,SBAR,1733.6577343876022
SBGR,SBAR,1704.690542648683
SBRJ,SBAR,1475.049930941615
SBGL,SBAR,1469.451025952953
SBCF,SBAR,1212.0816111717454
SBVT,SBAR,1086.9820564713546
SBBR,SBAR,1292.267951997669
SBCG,SBAR,2155.012304858739
SBCY,SBAR,2124.158573048079
SBGO,SBAR,1452.8183112529507
SBSV,SBAR,254.6897340919544
SBMO,SBAR,215.6284351832331
SBRF,SBAR,395.457420316483
SBJP,SBAR,486.5665971877746
SBSG,SBAR,610.1539639687406
SBFZ,SBAR,817.6421854162204
SBTE,SBAR,913.7349702258877
SBSL,SBAR,1223.7455109247355
SBPJ,SBAR,1235.6135153049781
SBJC,SBAR,1651.2224139231232
SBMQ,SBAR,1974.2969701971085
SBEG,SBAR,2683.0502809228906
SBBV,SBAR,3032.0029213289254
SBRB,SBAR,3371.8328391684295
SBPV,SBAR,2948.7518974353184
SBPA,SBMO,2781.909336550548
SBFL,SBMO,2421.599697234697
SBCT,SBMO,2273.1707523124446
SBSP,SBMO,1948.2228312032569
SBGR,SBMO,1919.2381387790049
SBRJ,SBMO,1683.8999470505462
SBGL,SBMO,1678.7230480642563
SBCF,SBMO,1427.2830529693292
SBVT,SBMO,1288.718746148987
SBBR,SBMO,1492.6376676235564
SBCG,SBMO,2360.998735873635
SBCY,SBMO,2307.528892789589
SBGO,SBMO,1654.113478140887
SBSV,SBMO,469.1427632517731
SBAR,SBMO,215.6284351832331
SBRF,SBMO,180.91851916873588
SBJP,SBMO,278.9845199432537
SBSG,SBMO,419.38565548296276
SBFZ,SBMO,705.9726819425965
SBTE,SBMO,919.8221130618153
SBSL,SBMO,1209.9773055964001
SBPJ,SBMO,1379.0041145862065
SBJC,SBMO,1669.0344330135222
SBMQ,SBMO,1997.1200914662033
SBEG,SBMO,2774.1588369205097
SBBV,SBMO,3081.578385224575
SBRB,SBMO,3517.7881045388385
SBPV,SBMO,3086.1814514994
SBPA,SBRF,2962.7989445648495
SBFL,SBRF,2602.5181462326714
SBCT,SBRF,2453.4836664678974
SBSP,SBRF,2128.8905049802124
SBGR,SBRF,2099.912292080464
SBRJ,SBRF,1864.206662366046
SBGL,SBRF,1859.1319809451447
SBCF,SBRF,1607.5390174032023
SBVT,SBRF,1467.0201144242953
SBBR,SBRF,1653.635226854971
SBCG,SBRF,2526.108351571299
SBCY,SBRF,2450.8557175012834
SBGO,SBRF,1815.5502675759574
SBSV,SBRF,649.7231804192911
SBAR,SBRF,395.457420316483
SBMO,SBRF,180.91851916873588
SBJP,SBRF,109.30558750823442
SBSG,SBRF,267.6137946329618
SBFZ,SBRF,627.4544408301244
SBTE,SBRF,936.652332579222
SBSL,SBRF,1200.7473691999776
SBPJ,SBRF,1493.706461719384
SBJC,SBRF,1678.0446198750217
SBMQ,SBRF,2006.7054348659096
SBEG,SBRF,2836.058133425077
SBBV,SBRF,3107.0681179798835
SBRB,SBRF,3624.8975428953445
SBPV,SBRF,3186.7696387405704
SBPA,SBJP,3053.9455484344976
SBFL,SBJP,2694.816380398862
SBCT,SBJP,2540.9572711352835
SBSP,SBJP,2218.2877172475087
SBGR,SBJP,2189.3647282908387
SBRJ,SBJP,1960.8903877110322
SBGL,SBJP,1955.4745094609577
SBCF,SBJP,1695.348388810798
SBVT,SBJP,1567.5725492693628
SBBR,SBJP,1712.8377765167859
SBCG,SBJP,2588.1718849265244
SBCY,SBJP,2491.3082095096634
SBGO,SBJP,1874.772893059249
SBSV,SBJP,740.9143951986497
SBAR,SBJP,486.5665971877746
SBMO,SBJP,278.9845199432537
SBRF,SBJP,109.30558750823442
SBSG,SBJP,160.73048079918843
SBFZ,SBJP,546.0863928724839
SBTE,SBJP,901.0110310112826
SBSL,SBJP,1147.0221928792703
SBPJ,SBJP,1514.5760487713378
SBJC,SBJP,1630.9684970514998
SBMQ,SBJP,1958.5413322645427
SBEG,SBJP,2816.3142328229487
SBBV,SBJP,3065.1310667312846
SBRB,SBJP,3634.537233593936
SBPV,SBJP,3192.2688961065246
SBPA,SBSG,3162.313766605955
SBFL,SBSG,2805.8604009868027
SBCT,SBSG,2643.243826610298
SBSP,SBSG,2324.759223096939
SBGR,SBSG,2296.00378959632
SBRJ,SBSG,2081.737914985714
SBGL,SBSG,2075.6635607232556
SBCF,SBSG,1800.512167140047
SBVT,SBSG,1697.135879405595
SBBR,SBSG,1770.6679646442578
SBCG,SBSG,2646.9511863432595
SBCY,SBSG,2516.2136991518782
SBGO,SBSG,1931.7116287505205
SBSV,SBSG,859.0953467634802
SBAR,SBSG,610.1539639687406
SBMO,SBSG,419.38565548296276
SBRF,SBSG,267.6137946329618
SBJP,SBSG,160.73048079918843
SBFZ,SBSG,414.6075663930455
SBTE,SBSG,828.5122022758283
SBSL,SBSG,1044.5069123708174
SBPJ,SBSG,1515.5365729472414
SBJC,SBSG,1533.6995256160044
SBMQ,SBSG,1858.2517314569
SBEG,SBSG,2751.9012848380194
SBBV,SBSG,2970.170737227255
SBRB,SBSG,3610.20360946058
SBPV,SBSG,3162.7984674643135
SBPA,SBFZ,3203.79473734863
SBFL,SBFZ,2861.1301837620736
SBCT,SBFZ,2671.8438941074687
SBSP,SBFZ,2373.023872393224
SBGR,SBFZ,2345.429438263003
SBRJ,SBFZ,2184.7435669474244
SBGL,SBFZ,2176.460529589254
SBCF,SBFZ,1858.4572182300976
SBVT,SBFZ,1842.5085613163326
SBBR,SBFZ,1690.984581615338
SBCG,SBFZ,2547.190362037588
SBCY,SBFZ,2332.3283066133968
SBGO,SBFZ,1843.91462459577
SBSV,SBFZ,1016.2911094259008
SBAR,SBFZ,817.6421854162204
SBMO,SBFZ,705.9726819425965
SBRF,SBFZ,627.4544408301244
SBJP,SBFZ,546.0863928724839
SBSG,SBFZ,414.6075663930455
SBTE,SBFZ,495.7550970454374
SBSL,SBFZ,646.1744483415044
SBPJ,SBFZ,1302.9048128971365
SBJC,SBFZ,1135.765994012764
SBMQ,SBFZ,1455.5452183449263
SBEG,SBFZ,2388.468340814278
SBBV,SBFZ,2569.4368819059264
SBRB,SBFZ,3309.084475346727
SBPV,SBFZ,2854.985699899133
SBPA,SBTE,2907.871018831835
SBFL,SBTE,2586.489527022521
SBCT,SBTE,2374.570632951603
SBSP,SBTE,2105.1742985573987
SBGR,SBTE,2079.8001474977586
SBRJ,SBTE,1985.2133643197817
SBGL,SBTE,1974.764594152559
SBCF,SBTE,1625.1127002276553
SBVT,SBTE,1712.522632119457
SBBR,SBTE,1324.5676901650647
SBCG,SBTE,2137.684289254956
SBCY,SBTE,1869.5688082902727
SBGO,SBTE,1462.990261473437
SBSV,SBTE,1002.9254802710005
SBAR,SBTE,913.7349702258877
SBMO,SBTE,919.8221130618153
SBRF,SBTE,936.652332579222
SBJP,SBTE,901.0110310112826
SBSG,SBTE,828.5122022758283
SBFZ,SBTE,495.7550970454374
SBSL,SBTE,316.83001813202736
SBPJ,SBTE,842.9667719748975
SBJC,SBTE,749.2129141894887
SBMQ,SBTE,1077.4418583452784
SBEG,SBTE,1923.3976275882076
SBBV,SBTE,2170.712299138471
SBRB,SBTE,2814.422373239093
SBPV,SBTE,2361.103807820795
SBPA,SBSL,3134.6129317247032
SBFL,SBSL,2827.3354645431464
SBCT,SBSL,2605.6283491920035
SBSP,SBSL,2354.5138979973412
SBGR,SBSL,2330.5023769041472
SBRJ,SBSL,2263.1849567017534
SBGL,SBSL,2252.1292402720474
SBCF,SBSL,1896.0089445206454
SBVT,SBSL,2011.959959924398
SBBR,SBSL,1531.50326178397
SBCG,SBSL,2286.931413668688
SBCY,SBSL,1950.759779508821
SBGO,SBSL,1653.9853858397598
SBSV,SBSL,1319.7433243363455
SBAR,SBSL,1223.7455109247355
SBMO,SBSL,1209.9773055964001
SBRF,SBSL,1200.7473691999776
SBJP,SBSL,1147.0221928792703
SBSG,SBSL,1044.5069123708174
SBFZ,SBSL,646.1744483415044
SBTE,SBSL,316.83001813202736
SBPJ,SBSL,970.7976973477954
SBJC,SBSL,490.16763875829724
SBMQ,SBSL,813.8044894213648
SBEG,SBSL,1756.5434017858456
SBBV,SBSL,1926.053359944151
SBRB,SBSL,2736.0149898227764
SBPV,SBSL,2278.864396360587
SBPA,SBPJ,2209.883257418514
SBFL,SBPJ,1932.5482795531275
SBCT,SBPJ,1696.1722662534407
SBSP,SBPJ,1493.4643094929359
SBGR,SBPJ,1474.1630018420828
SBRJ,SBPJ,1507.3944994924182
SBGL,SBPJ,1494.3652215224533
SBCF,SBPJ,1140.2602555565127
SBVT,SBPJ,1405.6389944240743
SBBR,SBPJ,621.7410697231841
SBCG,SBPJ,1316.4439628594846
